BATCH no.,PRODUCTION DATE,BATCH WEIGHT (kg) BEFORE COOKING,BATCH WEIGHT (kg) AFTER COOKING,LOSS PERCENTAGE
1637,2023-10-09,293.3,286.0,2.4889191953631133
1638,2023-10-09,283.5,277.0,2.2927689594356258
1639,2023-10-09,279.0,273.0,2.1505376344086025
1640,2023-10-09,287.0,281.0,2.0905923344947737
1641,2023-10-09,286.8,279.0,2.719665271966531
1642,2023-10-09,273.7,268.0,2.082572159298498
1643,2023-10-09,273.4,270.0,1.2435991221653173
1644,2023-10-09,285.9,280.0,2.06365862189576
1645,2023-10-09,285.6,278.0,2.661064425770316
1646,2023-10-09,290.4,282.0,2.892561983471067
1668,2023-10-09,283.7,277.0,2.3616496298907257
1669,2023-10-09,288.1,280.0,2.8115237764665126
1670,2023-10-09,287.4,281.0,2.2268615170494006
1673,2023-10-09,294.4,282.0,4.211956521739123
1674,2023-10-09,290.2,271.0,6.616126809097171
1675,2023-10-09,290.4,280.0,3.5812672176308467
1678,2023-10-09,288.6,282.0,2.286902286902295
1680,2023-10-09,290.8,285.0,1.9944979367262763
1695,2023-10-09,281.3,273.0,2.9505865623889127
1696,2023-10-09,288.1,282.0,2.1173203748698444
1697,2023-10-09,273.1,267.0,2.233614060783604
1706,2023-10-09,280.3,268.0,4.388155547627546
1707,2023-10-09,280.3,272.0,2.961113093114524
1708,2023-10-09,280.4,284.0,-1.283880171184031
1709,2023-10-09,291.4,286.3,1.7501715854495423
1710,2023-10-09,291.4,285.0,2.1962937542896284
1711,2023-10-09,291.6,274.5,5.864197530864205
1712,2023-10-09,292.0,280.0,4.10958904109589
1719,2023-10-09,278.2,272.9,1.9051042415528439
1721,2023-10-09,277.9,272.2,2.0510975170924755
1723,2023-10-09,282.1,275.9,2.1978021978022135
1726,2023-10-09,270.9,265.3,2.067183462532287
1728,2023-10-09,272.1,266.3,2.131569276001474
1729,2023-10-09,269.1,262.9,2.303976217019712
1730,2023-10-09,275.1,270.5,1.6721192293711458
1735,2023-10-09,270.5,264.3,2.2920517560073894
1736,2023-10-09,273.8,268.3,2.008765522279036
1738,2023-10-09,271.0,265.0,2.214022140221402
1739,2023-10-09,271.1,266.1,1.8443378827001107
1742,2023-10-09,283.3,277.5,2.0472996823155705
1743,2023-10-09,270.9,266.4,1.6611295681063125
1744,2023-10-09,292.1,287.7,1.5063334474495151
1746,2023-10-09,273.5,269.2,1.5722120658135326
1748,2023-10-09,271.5,266.4,1.8784530386740415
1749,2023-10-09,278.0,273.9,1.4748201438849002
1757,2023-10-09,278.4,274.1,1.5445402298850412
1758,2023-10-09,269.1,264.0,1.8952062430323384
1762,2023-10-09,269.3,265.2,1.522465651689574
1763,2023-10-09,268.7,263.8,1.8235950874581235
1768,2023-10-09,273.6,270.0,1.3157894736842188
1769,2023-10-09,272.4,268.5,1.4317180616740006
1770,2023-10-09,265.3,263.0,0.8669430833019265
1772,2023-10-09,273.4,269.1,1.5727871250914245
1774,2023-10-09,280.7,276.0,1.6743854649091516
1775,2023-10-09,268.2,263.2,1.864280387770321
1777,2023-10-09,284.6,279.3,1.8622628250175723
1781,2023-10-09,272.6,267.4,1.9075568598679549
1782,2023-10-09,273.2,267.2,2.1961932650073206
1788,2023-10-09,270.3,265.5,1.7758046614872407
1790,2023-10-09,275.7,270.6,1.8498367791077137
1791,2023-10-09,273.6,268.3,1.9371345029239806
1795,2023-10-09,285.6,281.0,1.610644257703089
1797,2023-10-09,275.5,269.7,2.105263157894741
1802,2023-10-09,271.5,266.9,1.6942909760589404
1803,2023-10-09,276.9,271.4,1.9862766341639582
1804,2023-10-09,287.3,281.2,2.1232161503654794
1820,2023-10-09,273.3,268.6,1.7197219173069842
1821,2023-10-09,270.9,266.6,1.5873015873015706
1822,2023-10-09,273.6,268.7,1.7909356725146324
1823,2023-10-09,265.8,262.6,1.2039127163280618
1824,2023-10-09,268.9,265.7,1.1900334696913308
1826,2023-10-09,268.9,264.6,1.5991074748977148
1827,2023-10-09,268.5,265.0,1.303538175046555
1829,2023-10-09,280.1,275.8,1.535166012138526
1830,2023-10-09,277.1,272.4,1.696138578130655
1839,2023-10-09,285.2,280.0,1.8232819074333761
1840,2023-10-09,264.9,260.6,1.6232540581351282
1842,2023-10-09,280.7,276.8,1.3893836836480147
1843,2023-10-09,272.3,269.0,1.211898641204558
1845,2023-10-09,284.6,280.8,1.3352073085031664
1846,2023-10-09,268.2,264.9,1.230425055928416
1847,2023-10-09,281.5,279.1,0.8525754884546988
1848,2023-10-09,284.2,280.7,1.2315270935960592
1849,2023-10-09,262.7,258.7,1.5226494099733539
1854,2023-10-09,276.6,272.2,1.5907447577729696
1859,2023-10-09,287.9,282.4,1.9103855505383813
1860,2023-10-09,269.0,263.9,1.8959107806691535
1861,2023-10-09,278.5,273.7,1.7235188509874366
1862,2023-10-09,272.8,268.3,1.6495601173020527
1863,2023-10-09,274.3,269.1,1.8957345971563937
1864,2023-10-09,269.6,263.1,2.4109792284866467
1865,2023-10-09,269.6,265.4,1.5578635014836961
1866,2023-10-09,269.0,264.3,1.7472118959107763
1867,2023-10-09,267.6,262.3,1.9805680119581508
1868,2023-10-09,272.6,267.0,2.054292002934711
1869,2023-10-09,279.9,275.0,1.7506252232940258
1870,2023-10-09,272.9,268.3,1.6855991205569683
1871,2023-10-09,270.3,265.3,1.849796522382538
1872,2023-10-09,284.1,278.2,2.076733544526587
1880,2023-10-09,279.7,275.1,1.6446192348945177
1881,2023-10-09,273.7,268.2,2.009499451954695
1882,2023-10-09,249.1,193.8,22.19991971095945
2108,2023-10-10,288.6,282.8,2.0097020097020133
