BATCH no.,PRODUCTION DATE,BATCH OUT OF STORAGE,BATCH WEIGHT LEAVING STORAGE (KG)
1637,10/9/2023,10/9/2023,286.000
1638,10/9/2023,10/9/2023,277.000
1639,10/9/2023,10/9/2023,273.000
1640,10/9/2023,10/9/2023,281.000
1641,10/9/2023,10/9/2023,279.000
1642,10/9/2023,10/9/2023,268.000
1643,10/9/2023,10/9/2023,270.000
1644,10/9/2023,10/9/2023,280.000
1645,10/9/2023,10/9/2023,278.000
1646,10/9/2023,10/9/2023,282.000
1668,10/9/2023,10/9/2023,277.000
1669,10/9/2023,10/9/2023,280.000
1670,10/9/2023,10/9/2023,281.000
1673,10/9/2023,10/9/2023,282.000
1674,10/9/2023,10/9/2023,271.000
1675,10/9/2023,10/9/2023,280.000
1678,10/9/2023,10/9/2023,282.000
1680,10/9/2023,10/9/2023,285.000
1695,10/9/2023,10/9/2023,273.000
1696,10/9/2023,10/9/2023,282.000
1697,10/9/2023,10/9/2023,267.000
1706,10/9/2023,10/9/2023,268.000
1707,10/9/2023,10/9/2023,272.000
1708,10/9/2023,10/9/2023,284.000
1709,10/9/2023,10/9/2023,286.300
1710,10/9/2023,10/9/2023,285.000
1711,10/9/2023,10/9/2023,274.500
1712,10/9/2023,10/9/2023,280.000
1719,10/9/2023,10/9/2023,272.900
1721,10/9/2023,10/9/2023,272.200
1723,10/9/2023,10/9/2023,275.900
1726,10/9/2023,10/9/2023,265.300
1728,10/9/2023,10/9/2023,266.300
1729,10/9/2023,10/9/2023,262.900
1730,10/9/2023,10/9/2023,270.500
1735,10/9/2023,10/9/2023,264.300
1736,10/9/2023,10/9/2023,268.300
1738,10/9/2023,10/9/2023,265.000
1739,10/9/2023,10/9/2023,266.100
1742,10/9/2023,10/9/2023,277.500
1743,10/9/2023,10/9/2023,266.400
1744,10/9/2023,10/9/2023,287.700
1746,10/9/2023,10/9/2023,269.200
1748,10/9/2023,10/9/2023,266.400
1749,10/9/2023,10/9/2023,273.900
1757,10/9/2023,10/9/2023,274.100
1758,10/9/2023,10/10/2023,264.000
1762,10/9/2023,10/10/2023,265.200
1763,10/9/2023,10/10/2023,263.800
1768,10/9/2023,10/10/2023,270.000
1769,10/9/2023,10/10/2023,268.500
1770,10/9/2023,10/10/2023,263.000
1772,10/9/2023,10/10/2023,269.100
1774,10/9/2023,10/10/2023,276.000
1775,10/9/2023,10/10/2023,263.200
1777,10/9/2023,10/10/2023,279.300
